Company,Average Salary,symbol,industry,sector
"Capricor Therapeutics, Inc.",141.64705882352942,CAPR,Biotechnology,Healthcare
"CASI Pharmaceuticals, Inc.",244.0,CASI,Biotechnology,Healthcare
"Catalyst Biosciences, Inc.",165.6315789473684,CBIO,Biotechnology,Healthcare
"Avid Bioservices, Inc.",133.1,CDMO,Biotechnology,Healthcare
"CareDx, Inc.",155.75,CDNA,Diagnostics & Research,Healthcare
"Cidara Therapeutics, Inc.",125.66666666666669,CDTX,Biotechnology,Healthcare
Celcuity Inc.,145.0,CELC,Biotechnology,Healthcare
ContraFect Corporation,205.57142857142856,CFRX,Biotechnology,Healthcare
"Coherus BioSciences, Inc.",252.2,CHRS,Biotechnology,Healthcare
"Celldex Therapeutics, Inc.",137.7,CLDX,Biotechnology,Healthcare
"Cellectar Biosciences, Inc.",215.0,CLRB,Biotechnology,Healthcare
"Chimerix, Inc.",179.33333333333334,CMRX,Biotechnology,Healthcare
Centogene N.V.,183.42857142857144,CNTG,Diagnostics & Research,Healthcare
"Cogent Biosciences, Inc.",155.25,COGT,Biotechnology,Healthcare
"Catalyst Pharmaceuticals, Inc.",209.0,CPRX,Biotechnology,Healthcare
Corbus Pharmaceuticals Holdings,146.1,CRBP,Biotechnology,Healthcare
"Cardiff Oncology, Inc.",86.0,CRDF,Biotechnology,Healthcare
"Curis, Inc.",150.8,CRIS,Biotechnology,Healthcare
"Crinetics Pharmaceuticals, Inc.",161.05,CRNX,Biotechnology,Healthcare
CRISPR Therapeutics AG,199.8,CRSP,Biotechnology,Healthcare
"Corvus Pharmaceuticals, Inc.",175.16666666666666,CRVS,Biotechnology,Healthcare
"Castle Biosciences, Inc.",113.55,CSTL,Diagnostics & Research,Healthcare
"CytomX Therapeutics, Inc.",152.55,CTMX,Biotechnology,Healthcare
"Cue Biopharma, Inc.",187.25,CUE,Biotechnology,Healthcare
CureVac N.V.,129.0,CVAC,Biotechnology,Healthcare
Cel-Sci Corporation,95.08333333333331,CVM,Biotechnology,Healthcare
"Cyclerion Therapeutics, Inc.",183.8823529411765,CYCN,Biotechnology,Healthcare
"Cytokinetics, Incorporated",174.6,CYTK,Biotechnology,Healthcare
"Deciphera Pharmaceuticals, Inc.",207.05,DCPH,Drug Manufacturers - Specialty & Generic,Healthcare
"DermTech, Inc.",132.9,DMTK,Diagnostics & Research,Healthcare
Denali Therapeutics Inc.,126.0,DNLI,Biotechnology,Healthcare
"Dyne Therapeutics, Inc.",152.1818181818182,DYN,Biotechnology,Healthcare
"Emergent Biosolutions, Inc.",126.6,EBS,Drug Manufacturers - Specialty & Generic,Healthcare
"Editas Medicine, Inc.",143.05,EDIT,Biotechnology,Healthcare
"Eagle Pharmaceuticals, Inc.",182.8571428571429,EGRX,Drug Manufacturers - Specialty & Generic,Healthcare
"Enanta Pharmaceuticals, Inc.",154.375,ENTA,Biotechnology,Healthcare
ESSA Pharma Inc.,258.5,EPIX,Biotechnology,Healthcare
"Equillium, Inc.",154.0,EQ,Biotechnology,Healthcare
"Esperion Therapeutics, Inc.",265.2,ESPR,Drug Manufacturers - Specialty & Generic,Healthcare
"89bio, Inc.",155.5,ETNB,Biotechnology,Healthcare
"Evelo Biosciences, Inc.",157.75,EVLO,Biotechnology,Healthcare
Exact Sciences Corporation,150.35,EXAS,Diagnostics & Research,Healthcare
"Exelixis, Inc.",267.0,EXEL,Biotechnology,Healthcare
"Fate Therapeutics, Inc.",150.7,FATE,Biotechnology,Healthcare
"Fortress Biotech, Inc.",244.0,FBIO,Biotechnology,Healthcare
Fennec Pharmaceuticals Inc.,241.0,FENC,Biotechnology,Healthcare
"FibroGen, Inc",235.8,FGEN,Biotechnology,Healthcare
"Homology Medicines, Inc.",132.05,FIXX,Biotechnology,Healthcare
"Amicus Therapeutics, Inc.",187.15,FOLD,Biotechnology,Healthcare
"Frequency Therapeutics, Inc.",175.3846153846154,FREQ,Biotechnology,Healthcare
Freeline Therapeutics Holdings ,177.2,FRLN,Biotechnology,Healthcare
Fusion Pharmaceuticals Inc.,208.0,FUSN,Biotechnology,Healthcare
Geron Corporation,191.35,GERN,Biotechnology,Healthcare
"Gilead Sciences, Inc.",215.3,GILD,Drug Manufacturers - General,Healthcare
