year,symbol,marketCap,NetIncomeLoss,OperatingIncomeLoss,ResearchAndDevelopmentExpense,GeneralAndAdministrativeExpense,Revenues,CostOfGoodsSold,SalesRevenueGoodsNet,SalesRevenueNet,PaymentsToAcquirePropertyPlantAndEquipment,NetCashProvidedByUsedInOperatingActivities,CommonStockValue,CashAndCashEquivalentsAtCarryingValue,operatingMargin
2019,APTX,,-57410000.0,-59613000.0,44330000.0,18952000.0,,,,,43000.0,-52087000.0,,,-16.2478
2020,APTX,190.1548,,,,,,,,,,,,,
2015,APVO,,,,,,,,,,,,,,-1.8184
2016,APVO,,-112415000.0,-126945000.0,29518000.0,,,24182000.0,36254000.0,36434000.0,2512000.0,,,,-13.8981
2017,APVO,,6973000.0,-53949000.0,29021000.0,,,5010000.0,10949000.0,14658000.0,1402000.0,,,,-3.6805
2018,APVO,,-53689000.0,-51665000.0,35385000.0,,,,,,976000.0,-51422000.0,,,-2.2398
2019,APVO,,-40448000.0,-42596000.0,29757000.0,,,,,,153000.0,-42383000.0,,,-1.3137
2020,APVO,22.66201,,,,,,,,,,,,,
2015,AQB,,,,,,,,,,,,,,
2016,AQB,,,,,,,,,,,,,,
2017,AQB,,-9258647.0,-9232099.0,3371767.0,5063824.0,,50777.0,,53278.0,18893264.0,-9100778.0,8895.0,492861.0,-173.2752
2018,AQB,,-10382059.0,-10365796.0,3458564.0,6615908.0,84518.0,,,,4009736.0,-9816765.0,15099.0,2990196.0,-122.64299999999999
2019,AQB,,-13227642.0,-13178644.0,2359441.0,6723060.0,186738.0,,,,2316809.0,-11248747.0,21635.0,2798744.0,-70.5721
2020,AQB,191.5543,,,,,,,,,,,,,
2015,ARAV,,,,,,,,,,,,,,
2016,ARAV,,,,,,,,,,,,,,
2017,ARAV,,,,,,,,,,,,,,-2.112
2018,ARAV,,-76333000.0,-75412000.0,11075000.0,27395000.0,,,,,33000.0,-29257000.0,,,-55.0051
2019,ARAV,,-18218000.0,-21774000.0,,13691000.0,,,,,,-17081000.0,,,-4.5811
2020,ARAV,83.77486,,,,,,,,,,,,,
2015,ARCT,,-964518.0,,,,17456.0,,,,,-855641.0,730.0,700873.0,
2016,ARCT,,,,,,,,,,,,,,-0.0491
2017,ARCT,,,,,,,,,,,,,,-0.8072
2018,ARCT,,-21785000.0,-21811000.0,16982000.0,20582000.0,15753000.0,,,,1478000.0,-20760000.0,,,-1.3846
2019,ARCT,,-25991000.0,-25513000.0,33640000.0,12662000.0,,,,,818000.0,-6445000.0,,,-1.2272
2020,ARCT,1208.232,,,,,,,,,,,,,
2015,ARDS,,,,,,,,,,,,,,-2.7624
2016,ARDS,,,,,,,,,,,,,,-3.4747
2017,ARDS,,,,,,,,,,,,,,-22.9512
2018,ARDS,,-22105000.0,-24117000.0,23000000.0,3874000.0,,,,,677000.0,-24271000.0,,,-8.7476
2019,ARDS,,-29681000.0,-29087000.0,24083000.0,6026000.0,,,,,,-8159000.0,,,-28.4609
2020,ARDS,78.14945,,,,,,,,,,,,,
2015,ARDX,,-29621000.0,-29389000.0,39885000.0,13530000.0,24026000.0,,,,3454000.0,,3000.0,107004000.0,-1.2232
2016,ARDX,,-112387000.0,-112895000.0,94161000.0,18734000.0,,,,,4866000.0,,5000.0,74598000.0,
2017,ARDX,,-64339000.0,-65115000.0,75484000.0,23231000.0,42000000.0,,,,2355000.0,-65190000.0,,75383000.0,-1.5504
2018,ARDX,,-91298000.0,-90947000.0,69373000.0,23715000.0,2607000.0,,,,311000.0,-70274000.0,,78768000.0,-34.8857
2019,ARDX,,-94940000.0,-91263000.0,71677000.0,24267000.0,,,,,325000.0,-76484000.0,,181133000.0,-17.2814
2020,ARDX,459.9653,,,,,,,,,,,,,
2015,ARMP,,,,,,,,,,,,,,-21.5305
2016,ARMP,,,,,,,,,,,,,,-89.9154
2017,ARMP,,,,,,,,,,,,,,-140.487
2018,ARMP,,,,,,,,,,,,,,
2019,ARMP,,-19479000.0,-19752000.0,9824000.0,9265000.0,,,,,,,,6033000.0,
2020,ARMP,64.40765,,,,,,,,,,,,,
2015,ARNA,,-107979000.0,-103198000.0,88411000.0,35966000.0,38326000.0,8590000.0,19726000.0,,10992000.0,-98113000.0,24000.0,156184000.0,-7.7259
2016,ARNA,,-22516000.0,-17146000.0,66425000.0,31243000.0,123975000.0,9297000.0,26349000.0,,950000.0,,,90712000.0,-0.0571
2017,ARNA,,-91407000.0,-91967000.0,70988000.0,30341000.0,21337000.0,,,,113000.0,-66642000.0,,,-4.3102
2018,ARNA,,-29399000.0,-144783000.0,115029000.0,47724000.0,,,,,692000.0,-132212000.0,,,-8.0569
2019,ARNA,,397555000.0,482746000.0,231496000.0,77616000.0,,,,,4819000.0,568694000.0,,,0.5986
2020,ARNA,4689.002,,,,,,,,,,,,,
2015,ARQT,,,,,,,,,,,,,,
2016,ARQT,,,,,,,,,,,,,,
2017,ARQT,,,,,,,,,,,,,,
2018,ARQT,,,,,,,,,,,,,,
2019,ARQT,,,,,,,,,,,,,,
2020,ARQT,992.7949,,,,,,,,,,,,,
2015,ARWR,,-91940882.0,-95973976.0,47267361.0,7931184.0,382000.0,,,,1970612.0,,,81214354.0,-251.2408
2016,ARWR,,-81723002.0,-81742726.0,,9940737.0,158333.0,,,,3860237.0,,,85366448.0,-516.2807
2017,ARWR,,,-36995909.0,,6838402.0,31407709.0,,,,7918198.0,,,24838567.0,-1.1779
2018,ARWR,,,-55936235.0,,19110051.0,16142321.0,,,,1421252.0,-47223417.0,,30133213.0,-3.4652
2019,ARWR,,67974849.0,61190634.0,,26556257.0,,,,,12001225.0,173034923.0,,,0.3625
2020,ARWR,6022.941,,,,,,,,,,,,,
2015,ASLN,,,,,,,,,,,,,,
2016,ASLN,,,,,,,,,,,,,,
2017,ASLN,,,,,,,,,,,,,,
2018,ASLN,,,,,,,,,,,,,,
2019,ASLN,,,,,,,,,,,,,,
2020,ASLN,0.0,,,,,,,,,,,,,
2015,ASMB,,-28453833.0,-29655630.0,18357937.0,11297693.0,,,,,58261.0,,17226.0,27107526.0,
2016,ASMB,,-44261562.0,-45278461.0,33092977.0,12185484.0,,,,,146329.0,,17247.0,28575085.0,
2017,ASMB,,-42808548.0,-52226878.0,44225021.0,17020607.0,,,,,864564.0,1860081.0,20138.0,82033209.0,-5.7909
2018,ASMB,,-90751000.0,-92735000.0,72741000.0,34798000.0,,,,,340000.0,-64958000.0,25000.0,41471000.0,-6.2642
2019,ASMB,,97634000.0,102713000.0,85757000.0,32919000.0,,,,,1554000.0,84067000.0,,,-6.4344
2020,ASMB,488.5526,,,,,,,,,,,,,
2015,ASND,,,,,,,,,,,,,,-5.1521
2016,ASND,,,,,,,,,,,,,,-15.8315
2017,ASND,,,,,,,,,,,,,,-72.9026
2018,ASND,,,,,,,,,,,,,,-14.6259
2019,ASND,,,,,,,,,,,,,,-16.951
2020,ASND,8472.723,,,,,,,,,,,,,
2015,ATHX,,-16422000.0,-17171000.0,21316000.0,7536000.0,,,,11948000.0,,,84000.0,23027000.0,-1.4371
2016,ATHX,,-15337000.0,-15026000.0,24838000.0,7835000.0,,,,17347000.0,,,87000.0,14753000.0,-0.8662
2017,ATHX,,-32241000.0,-33283000.0,27841000.0,8466000.0,,,,3708000.0,,,122000.0,29316000.0,-8.976
2018,ATHX,,-24283000.0,-25045000.0,38656000.0,10442000.0,24291000.0,,,,,-13350000.0,144000.0,51059000.0,-1.031
2019,ATHX,,-44582000.0,-45488000.0,39045000.0,11378000.0,5633000.0,,,,,-35326000.0,160000.0,35000000.0,-8.0753
2020,ATHX,317.8197,,,,,,,,,,,,,
2015,ATNM,,-21025314.0,-24829764.0,13311739.0,11464560.0,,,,,47788.0,-18543768.0,44067.0,25643273.0,
2016,ATNM,,-24321724.0,-26847481.0,17501364.0,9268594.0,,,,,59960.0,-20789237.0,55802.0,20519294.0,
2017,ATNM,,-26601235.0,-26910788.0,17699503.0,9155347.0,,,,,24739.0,-21553346.0,80072.0,17399636.0,
2018,ATNM,,-23653963.0,-23827322.0,17094778.0,6732544.0,,,,,96092.0,-20571056.0,115703.0,13673308.0,
2019,ATNM,,-21899054.0,-22071447.0,16549693.0,5521754.0,,,,,63893.0,-21461449.0,164701.0,9253831.0,
2020,ATNM,153.256,,,,,,,,,,,,,
2015,ATNX,,,,,,,,,,,,,,-3.6365
2016,ATNX,,,,,,,,,,,,,,-4.1724
2017,ATNX,,-28283000.0,-28356000.0,20848000.0,,14873000.0,10064000.0,14128000.0,,,,,39284000.0,-2.8911
2018,ATNX,,-117440000.0,-126818000.0,119905000.0,,,,,,3321000.0,-109387000.0,,,-1.4233
2019,ATNX,,-123749000.0,-119532000.0,84393000.0,,,,,,13572000.0,-97460000.0,,,-1.1808
2020,ATNX,1049.845,,,,,,,,,,,,,
2015,ATOS,,-15760323.0,-12758618.0,2359593.0,8846963.0,,132411.0,,1758.0,,-13953296.0,32657.0,3715895.0,-7249.2159
2016,ATOS,,-6368885.0,-7968590.0,770427.0,6479193.0,,,,,,-5374589.0,56804.0,3027962.0,
2017,ATOS,,-8122581.0,-7649171.0,2328087.0,4859369.0,,,,,,-6593950.0,477342.0,7217469.0,
2018,ATOS,,-11404934.0,-11434233.0,4209981.0,7224252.0,,,,,110906.0,-8961621.0,,,
2019,ATOS,,-17239777.0,-17265425.0,6645417.0,10620008.0,,,,,7625.0,-9128442.0,,,
2020,ATOS,19.02285,,,,,,,,,,,,,
2015,ATRA,,-57221000.0,-58448000.0,,16830000.0,,,,,290000.0,,,23746000.0,
2016,ATRA,,-79049000.0,-81242000.0,56514000.0,24728000.0,,,,,3020000.0,,,47968000.0,
2017,ATRA,,-119491000.0,-121532000.0,81206000.0,40326000.0,,,,,20232000.0,,,79223000.0,
2018,ATRA,,-230699000.0,-237111000.0,167457000.0,69654000.0,,,,,35925000.0,-179772000.0,,,
2019,ATRA,,290976000.0,295681000.0,216097000.0,79584000.0,,,,,5733000.0,235626000.0,,,
2020,ATRA,1085.638,,,,,,,,,,,,,
2015,AUPH,,,,,,,,,,,,,,-101.7745
2016,AUPH,,,,,,,,,,,,,,-141.2948
2017,AUPH,,,,,,,,,,,,,,-113.25
2018,AUPH,,,,,,,,,,,,,,-121.8013
2019,AUPH,,,,,,,,,,,,,,-268.4119
2020,AUPH,2509.649,,,,,,,,,,,,,
2015,AUTL,,,,,,,,,,,,,,
2016,AUTL,,,,,,,,,,,,,,-11.8614
2017,AUTL,,,,,,,,,,,,,,-13.8323
2018,AUTL,,,,,,,,,,,,,,-40.8905
2019,AUTL,,,,,,,,,,,,,,-50.2283
2020,AUTL,613.4197,,,,,,,,,,,,,
2015,AVEO,,-15001000.0,-12426000.0,12875000.0,14217000.0,19024000.0,,,,22000.0,,,26634000.0,-0.6532
2016,AVEO,,-26887000.0,-29393000.0,23703000.0,8205000.0,2515000.0,,,,7000.0,,,15096000.0,-11.6871
2017,AVEO,,-65025000.0,-28811000.0,25179000.0,9138000.0,7579000.0,,,,,,,14949000.0,-3.8014
2018,AVEO,,21818000.0,-6343000.0,,,,,,,,,,24427000.0,-4.6879
2019,AVEO,,9388000.0,,,,,,,,,-2919000.0,,,-0.013000000000000001
2020,AVEO,152.2691,,,,,,,,,,,,,
2015,AVRO,,,,,,,,,,,,,,
2016,AVRO,,,,,,,,,,,,,,
2017,AVRO,,,,,,,,,,,,,,
2018,AVRO,,,,,,,,,,,,,,
2019,AVRO,,-72965000.0,-75809000.0,54974000.0,20835000.0,,,,,1585000.0,-67668000.0,,,
2020,AVRO,607.8627,,,,,,,,,,,,,
2015,AVXL,,-12108130.0,,,4836978.0,,,,,,,,,
2016,AVXL,,-14736698.0,,,8334740.0,,,,,,,,,
2017,AVXL,,-13460405.0,,,5008275.0,,,,,,,,,
2018,AVXL,,-17453409.0,,,5989170.0,,,,,,,,,
2019,AVXL,,-26294979.0,,,6846599.0,,,,,,,,22185630.0,
2020,AVXL,344.5913,,,,,,,,,,,,,
2015,AXLA,,,,,,,,,,,,,,
2016,AXLA,,,,,,,,,,,,,,
2017,AXLA,,,,,,,,,,,,,,
2018,AXLA,,,,,,,,,,,,,,
2019,AXLA,,59037000.0,57439000.0,41658000.0,15781000.0,,,,,136000.0,50962000.0,24000.0,,
2020,AXLA,162.1886,,,,,,,,,,,,,
2015,AYLA,,,,,,,,,,,,,,
2016,AYLA,,,,,,,,,,,,,,
2017,AYLA,,,,,,,,,,,,,,
2018,AYLA,,,,,,,,,,,,,,
2019,AYLA,,,,,,,,,,,,,,-7.5883
2020,AYLA,172.5203,,,,,,,,,,,,,
2015,AZRX,,,,,,,,,,,,,,
2016,AZRX,,-14591662.0,-6325158.0,2496105.0,4129053.0,,,,,,-4534859.0,963.0,,
2017,AZRX,,-11096383.0,-10221184.0,2395478.0,7685706.0,,,,,,-7184638.0,1205.0,,
2018,AZRX,,-13533617.0,-13431771.0,4985553.0,8236218.0,,,,,55473.0,-10869320.0,1771.0,,
2019,AZRX,,-15177686.0,,8680669.0,6063078.0,0.0,,,,24098.0,-14033502.0,2680.0,,
2020,AZRX,22.83648,,,,,,,,,,,,,
2015,BBI,,,,,,,,,,,,,,-0.4489
2016,BBI,,,,,,,,,,,,,,-0.6315
2017,BBI,,,,,,,,,,,,,,-0.9687
2018,BBI,,,,,,,,,,,,,,-12.1122
2019,BBI,,23877000.0,24468000.0,20214000.0,12171000.0,,,,,,35981000.0,85000.0,7232000.0,-2.7978
2020,BBI,20.00948,,,,,,,,,,,,,
2015,BBIO,,,,,,,,,,,,,,
2016,BBIO,,,,,,,,,,,,,,
2017,BBIO,,,,,,,,,,,,,,
2018,BBIO,,,,,,,,,,,,,,
2019,BBIO,,,-266240000.0,209947000.0,94353000.0,,,,,2638000.0,-253587000.0,,,-6.5744
2020,BBIO,4860.032,,,,,,,,,,,,,
2015,BCDA,,,,,,,,,,,,,,-5.9834
2016,BCDA,,-10310000.0,-7608000.0,3330000.0,,576000.0,746000.0,517000.0,,,,458000.0,21352000.0,-13.2083
2017,BCDA,,-12308000.0,-12405000.0,5799000.0,,479000.0,690000.0,389000.0,,136000.0,-8671000.0,38000.0,12689000.0,-25.8977
2018,BCDA,,-13987000.0,-14102000.0,8453000.0,,,,,,66000.0,-11069000.0,43000.0,5358000.0,-22.5632
2019,BCDA,,-14709000.0,-14213000.0,8562000.0,,,,,,146000.0,-9445000.0,7000.0,5585000.0,-20.7521
2020,BCDA,26.83972,,,,,,,,,,,,,
2015,BCEL,,,,,,,,,,,,,,
2016,BCEL,,,,,,,,,,,,,,
2017,BCEL,,,,,,,,,,,,,,
2018,BCEL,,,,,,,,,,,,,,
2019,BCEL,,,,,,,,,,,,,,
2020,BCEL,425.3456,,,,,,,,,,,,,
2015,BCLI,,-8488000.0,-8536000.0,4949000.0,3587000.0,,,,,45000.0,,11000.0,428000.0,
2016,BCLI,,-4982000.0,-5083000.0,2250000.0,2833000.0,,,,,103000.0,,11000.0,547000.0,
2017,BCLI,,-4952000.0,,,,,,,,180000.0,-2364000.0,11000.0,2483000.0,
2018,BCLI,,-13948000.0,,,,,,,,369000.0,-12388000.0,11000.0,942000.0,
2019,BCLI,,,,,,,,,,473000.0,-11247000.0,,,
2020,BCLI,339.3516,,,,,,,,,,,,,
2015,BCRX,,-43019000.0,,,,,,,,,,,28899000.0,-0.8174
2016,BCRX,,-55144000.0,,,,,,,,,,,22104000.0,-1.8445
2017,BCRX,,-65782000.0,,,,,,,,,-41143000.0,,50282000.0,-2.2795
2018,BCRX,,-101252000.0,,,,,,,,,-92565000.0,,,-4.562
2019,BCRX,,-108897000.0,,,,,,,,343000.0,-89584000.0,,,-2.0366
2020,BCRX,655.0585,,,,,,,,,,,,,
2015,BCYC,,,,,,,,,,,,,,
2016,BCYC,,,,,,,,,,,,,,
2017,BCYC,,,,,,,,,,,,,,-7.8704
2018,BCYC,,,,,,,,,,,,,,-3.0474
2019,BCYC,,-4406000.0,,,,,,,,,,,,-1.9056
2020,BCYC,366.2102,,,,,,,,,,,,,
2015,BDTX,,,,,,,,,,,,,,
2016,BDTX,,,,,,,,,,,,,,
2017,BDTX,,,,,,,,,,,,,,
2018,BDTX,,,,,,,,,,,,,,
2019,BDTX,,35258000.0,29332000.0,21753000.0,7579000.0,,,,,21000.0,24674000.0,1000.0,154666000.0,
2020,BDTX,1144.179,,,,,,,,,,,,,
2015,BEAM,,,,,,,,,,,,,,
2016,BEAM,,,,,,,,,,,,,,
2017,BEAM,,,,,,,,,,,,,,
2018,BEAM,,,,,,,,,,,,,,
2019,BEAM,,,,,,,,,,,,,,-4175.2222
2020,BEAM,2141.763,,,,,,,,,,,,,
2015,BHVN,,,,,,,,,,,,,,
2016,BHVN,,,,,,,,,,,,,,
2017,BHVN,,,28300000.0,22686000.0,5614000.0,,,,,,,,131468000.0,
2018,BHVN,,,48066000.0,37958000.0,10108000.0,,,,,,,554384000.0,264249000.0,
2019,BHVN,,,134989000.0,66019000.0,68970000.0,,,,,,,881426000.0,316727000.0,
2020,BHVN,4714.04,,,,,,,,,,,,,
2015,BIIB,,3547000000.0,4891000000.0,,,10763800000.0,1240400000.0,9188500000.0,,643000000.0,3716100000.0,100000.0,1308000000.0,0.4544
2016,BIIB,,3702800000.0,5150400000.0,,,11448800000.0,1478700000.0,9817900000.0,,616100000.0,4522400000.0,100000.0,2326500000.0,0.4499
2017,BIIB,,2539100000.0,5344200000.0,,,12273900000.0,1630000000.0,10354700000.0,,867400000.0,4551000000.0,100000.0,1573800000.0,0.4354
2018,BIIB,,4430700000.0,5888600000.0,,,13452900000.0,,,,770600000.0,6187700000.0,100000.0,1224600000.0,0.4377
2019,BIIB,,,7042600000.0,,,14377900000.0,,,,514500000.0,7078600000.0,100000.0,2913700000.0,0.4898
2020,BIIB,40778.63,,,,,,,,,,,,,
2015,BIOC,,-4617500.0,-4510470.0,784379.0,1404515.0,218283.0,,,,,,,8821329.0,-26.9069
2016,BIOC,,-4186874.0,-4092435.0,668399.0,1636994.0,1291587.0,,,,,,,,-5.5925
2017,BIOC,,-5666573.0,-5566521.0,908800.0,1650097.0,995226.0,,,,,,,,-4.1776
2018,BIOC,,-6014312.0,-5938161.0,1288957.0,1632670.0,859526.0,,,,,,,,-7.4635
2019,BIOC,,-5713478.0,-5651070.0,1161905.0,1911593.0,,,,,,,,,-4.1705
2020,BIOC,60.53831,,,,,,,,,,,,,
2015,BIVI,,,,,,,,,,,,,,
2016,BIVI,,-431923.0,,,,,,,,,-163631.0,8716.0,,
2017,BIVI,,-1330672.0,,,,,,,,,-623615.0,9192.0,,
2018,BIVI,,,-2496573.0,1008100.0,,,,,,,-621341.0,9850.0,,
2019,BIVI,,,,,,,,,,,,,,
2020,BIVI,85.90893,,,,,,,,,,,,,
2015,BLCM,,-48548000.0,-49135000.0,33561000.0,12672000.0,,,,282000.0,5421000.0,-35726000.0,276000.0,,-174.2376
2016,BLCM,,-69241000.0,-68380000.0,51263000.0,16925000.0,,,,388000.0,7220000.0,-50441000.0,278000.0,33140000.0,-176.2371
2017,BLCM,,-91779000.0,-87387000.0,65663000.0,21045000.0,,,,185000.0,12134000.0,-72984000.0,340000.0,38839000.0,-482.0162
2018,BLCM,,-98036000.0,-95466000.0,71152000.0,24998000.0,,,,,1617000.0,-74782000.0,442000.0,43695000.0,-85.2375
2019,BLCM,,-112477000.0,-87364000.0,64535000.0,29972000.0,,,,,522000.0,-77569000.0,507000.0,91028000.0,-12.2307
2020,BLCM,31.37063,,,,,,,,,,,,,
2015,BLU,,,,,,,,,,,,,,-0.0263
2016,BLU,,,,,,,,,,,,,,-1.1078
2017,BLU,,,,,,,,,,,,,,-22.6727
2018,BLU,,,,,,,,,,,,,,-283.0286
2019,BLU,,,,,,,,,,,,,,-974.2857
2020,BLU,249.825,,,,,,,,,,,,,
2015,BLUE,,-166783000.0,-169037000.0,134038000.0,46209000.0,14079000.0,,,,7055000.0,,,164269000.0,-12.0063
2016,BLUE,,-263507000.0,-267830000.0,204775000.0,65119000.0,6155000.0,,,,15995000.0,,,278887000.0,-43.5142
2017,BLUE,,-335643000.0,-332165000.0,273040000.0,93550000.0,35427000.0,,,,,,,758505000.0,-9.376
2018,BLUE,,-555625000.0,-572023000.0,448589000.0,174129000.0,,,,,55737000.0,-413426000.0,,,-10.4806
2019,BLUE,,789608000.0,814826000.0,582413000.0,,,,,,71028000.0,564384000.0,554000.0,327214000.0,-18.2394
2020,BLUE,3677.361,,,,,,,,,,,,,
2015,BMRN,,-171799000.0,-110702000.0,634806000.0,,889895000.0,,884522000.0,,227653000.0,,,397040000.0,-0.1246
2016,BMRN,,-630210000.0,-803429000.0,661905000.0,,1116854000.0,,1110381000.0,,148380000.0,,,408330000.0,-0.7194
2017,BMRN,,-117042000.0,-14700000.0,610753000.0,,1313646000.0,,1270445000.0,,199219000.0,,,598028000.0,-0.0112
2018,BMRN,,-77211000.0,-123524000.0,696328000.0,,,,,,144620000.0,20208000.0,178000.0,493982000.0,-0.0828
2019,BMRN,,23848000.0,100457000.0,715007000.0,,,,,,145026000.0,48262000.0,180000.0,437446000.0,-0.059000000000000004
2020,BMRN,14060.03,,,,,,,,,,,,,
2015,BNR,,,,,,,,,,,,,,
2016,BNR,,,,,,,,,,,,,,
2017,BNR,,,,,,,,,,,,,,-1.0873
2018,BNR,,,,,,,,,,,,,,-0.7727
2019,BNR,,,,,,,,,,,,,,-0.44299999999999995
2020,BNR,-99999.99,,,,,,,,,,,,,
2015,BNTC,,,,,,,,,,,,,,-3.5546
2016,BNTC,,,,,,,,,,,,,,-6.0099
2017,BNTC,,,,,,,,,,,,,,-0.4883
2018,BNTC,,,,,,,,,,,,,,-2.5197
2019,BNTC,,,,,,,,,,,,,,0.1903
2020,BNTC,12.77586,,,,,,,,,,,,,
2015,BNTX,,,,,,,,,,,,,,
2016,BNTX,,,,,,,,,,,,,,
2017,BNTX,,,,,,,,,,,,,,-0.9948
2018,BNTX,,,,,,,,,,,,,,-0.4221
2019,BNTX,,,,,,,,,,,,,,-1.6716
2020,BNTX,21200.51,,,,,,,,,,,,,
2015,BPMC,,-52769000.0,,48588000.0,14456000.0,11400000.0,,,,4883000.0,,,162707000.0,-4.5302
2016,BPMC,,-72495000.0,,81131000.0,19218000.0,27772000.0,,,,2354000.0,,,52069000.0,-2.6133
2017,BPMC,,-148119000.0,,144687000.0,27986000.0,21426000.0,,,,15512000.0,-119865000.0,,400304000.0,-7.059
2018,BPMC,,-236642000.0,,243621000.0,47928000.0,,,,,12677000.0,-175009000.0,,,-5.5486
2019,BPMC,,347694000.0,,331450000.0,96388000.0,,,,,14013000.0,278015000.0,,,-5.4325
2020,BPMC,5785.328,,,,,,,,,,,,,
2015,BPTH,,-5466794.0,-5484459.0,3020027.0,2464432.0,0.0,,,,0.0,,89763.0,,
2016,BPTH,,-6750000.0,-8475000.0,5474000.0,3014000.0,13000.0,,,,338000.0,,96000.0,,-651.9231
2017,BPTH,,-7023000.0,-8966000.0,5480000.0,3523000.0,37000.0,,,,538000.0,-7957000.0,11000.0,,-254.2162
2018,BPTH,,-8583000.0,-8590000.0,4603000.0,3379000.0,0.0,,,,17000.0,-6124000.0,1000.0,,
2019,BPTH,,-8599000.0,-8693000.0,4585000.0,4108000.0,,,,,0.0,-8361000.0,,,
2020,BPTH,17.38865,,,,,,,,,,,,,
2015,BSTC,,9617632.0,14443315.0,1034288.0,7272532.0,,,,22750135.0,,,7290.0,5137875.0,0.6349
2016,BSTC,,11372239.0,17026416.0,1327923.0,7896616.0,,,,26250955.0,,,7555.0,4763364.0,0.6486
2017,BSTC,,11328266.0,17678151.0,1223277.0,8542324.0,,,,27443752.0,,13157654.0,7600.0,7333810.0,0.6442
2018,BSTC,,20053269.0,23398678.0,756776.0,8805989.0,,,,,,17730536.0,7738.0,13176452.0,0.7099
2019,BSTC,,24469808.0,28312052.0,590331.0,9285372.0,,,,,,22285149.0,7813.0,4999183.0,0.7414
2020,BSTC,647.2374,,,,,,,,,,,,,
2015,BTAI,,,,,,,,,,,,,,
2016,BTAI,,,,,,,,,,,,,,
2017,BTAI,,,,,,,,,,,,,,
2018,BTAI,,-19270000.0,-19962000.0,14558000.0,5404000.0,,,,,340000.0,-13509000.0,,,
2019,BTAI,,-32968000.0,-33601000.0,25797000.0,7804000.0,,,,,870000.0,-27280000.0,,,
2020,BTAI,1039.9489999999996,,,,,,,,,,,,,
2015,BYSI,,,,,,,,,,,,,,
2016,BYSI,,,,,,,,,,,,,,
2017,BYSI,,,,,,,,,,,,,,
2018,BYSI,,,,,,,,,,,,,,
2019,BYSI,,,,,,,,,,,,,,
2020,BYSI,446.6482,,,,,,,,,,,,,
2015,CABA,,,,,,,,,,,,,,
2016,CABA,,,,,,,,,,,,,,
2017,CABA,,,,,,,,,,,,,,
2018,CABA,,,,,,,,,,,,,,
2019,CABA,,-16943000.0,-18683000.0,11671000.0,7012000.0,,,,,693000.0,-16045000.0,,,
2020,CABA,289.9175,,,,,,,,,,,,,
2015,CALA,,-32644000.0,-32819000.0,23748000.0,9071000.0,,,,,441000.0,,,6105000.0,
2016,CALA,,-38004000.0,-38334000.0,27748000.0,10586000.0,,,,,401000.0,,,10601000.0,
2017,CALA,,-27826000.0,-29686000.0,43111000.0,12530000.0,25955000.0,,,,1229000.0,,,48475000.0,-1.1437
2018,CALA,,-54629000.0,-57281000.0,66195000.0,13340000.0,,,,,214000.0,-64842000.0,,,-2.574
2019,CALA,,-89860000.0,-92895000.0,76290000.0,16605000.0,,,,,7000.0,-78745000.0,,,
2020,CALA,258.2449,,,,,,,,,,,,,
2015,CAPR,,-12857339.0,-12611826.0,13757279.0,4372195.0,5517648.0,,,,129697.0,,16255.0,5568306.0,-2.2857
2016,CAPR,,-18806776.0,-16976518.0,16042082.0,4933054.0,3998618.0,,,,191970.0,,21399.0,3204378.0,-4.6207
2017,CAPR,,2431423.0,-12862397.0,10766095.0,4762642.0,2666340.0,,,,32185.0,-14230879.0,26271.0,6140135.0,1.047
2018,CAPR,,-15191095.0,-15327086.0,12066800.0,4931642.0,1671356.0,,,,316486.0,-13862441.0,31388.0,4259266.0,-9.1704
2019,CAPR,,-7641817.0,-7733888.0,5141805.0,3597111.0,1005028.0,,,,0.0,-6821501.0,,,-7.6979
2020,CAPR,88.16649,,,,,,,,,,,,,
2015,CASI,,-7206423.0,,4075572.0,3118269.0,,6274.0,47712.0,47712.0,25396.0,,325252.0,5131114.0,-149.9143
2016,CASI,,-9453488.0,,4645560.0,4775050.0,,0.0,0.0,0.0,223233.0,,602760.0,27092928.0,
2017,CASI,,-10770202.0,,7595182.0,3156138.0,0.0,,,0.0,934702.0,-6402235.0,699015.0,43489935.0,
2018,CASI,,-27471568.0,,8507377.0,17997069.0,0.0,,,,1131113.0,-28583928.0,953667.0,84204809.0,
2019,CASI,,-46032000.0,-46958000.0,9748000.0,27336000.0,4131000.0,,,,427000.0,-23243000.0,,,-11.3672
2020,CASI,219.3806,,,,,,,,,,,,,
2015,CATB,,-32630000.0,-31659000.0,23030000.0,8629000.0,,,,,421000.0,,,62780000.0,
2016,CATB,,-36060000.0,-35558000.0,25450000.0,10108000.0,,,,,459000.0,,,23596000.0,
2017,CATB,,-27364000.0,-27094000.0,18682000.0,8912000.0,500000.0,,,,57000.0,-26836000.0,,16369000.0,-54.188
2018,CATB,,-25870000.0,-26371000.0,17042000.0,9329000.0,,,,,,-23465000.0,,,
2019,CATB,,-26293000.0,-27088000.0,18317000.0,8771000.0,,,,,12000.0,-26569000.0,,,
2020,CATB,111.0501,,,,,,,,,,,,,
2015,CBIO,,-14762000.0,-13802000.0,5958000.0,9594000.0,,,,,272000.0,,11000.0,29096000.0,-7.8869
2016,CBIO,,-16945000.0,-20418000.0,11555000.0,9262000.0,,,,,468000.0,,,10264000.0,-51.1729
